[2025-12-11 07:21:06,164][accelerate.utils.other][WARNING] - Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
[2025-12-11 07:21:06,928][accelerate.accelerator][INFO] - Loading states from experiments/noise_distillation/checkpoints/epoch_1
[2025-12-11 07:21:07,624][accelerate.checkpointing][INFO] - All model weights loaded successfully
[2025-12-11 07:21:07,702][accelerate.checkpointing][INFO] - All optimizer states loaded successfully
[2025-12-11 07:21:07,705][accelerate.checkpointing][INFO] - All scheduler states loaded successfully
[2025-12-11 07:21:07,705][accelerate.checkpointing][INFO] - All dataloader sampler states loaded successfully
[2025-12-11 07:21:07,708][accelerate.checkpointing][INFO] - GradScaler state loaded successfully
[2025-12-11 07:21:07,712][accelerate.checkpointing][INFO] - All random states loaded successfully
[2025-12-11 07:21:07,713][accelerate.accelerator][INFO] - Loading in 1 custom states
[2025-12-11 07:21:07,714][accelerate.checkpointing][INFO] - Loading the state of NoiseTrainer from experiments/noise_distillation/checkpoints/epoch_1/custom_checkpoint_0.pkl
[2025-12-11 09:19:43,778][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/epoch_2
[2025-12-11 09:19:44,324][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/epoch_2/model.safetensors
[2025-12-11 09:19:44,374][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/epoch_2/optimizer.bin
[2025-12-11 09:19:44,377][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/epoch_2/scheduler.bin
[2025-12-11 09:19:44,378][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/epoch_2/sampler.bin
[2025-12-11 09:19:44,378][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/epoch_2/sampler_1.bin
[2025-12-11 09:19:44,380][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/epoch_2/scaler.pt
